100 1000
3 1 6
72 69 7
98 84 1
47 45 4
16 72 1
30 9 5
53 72 1
52 77 4
3 49 7
87 50 2
96 2 4
58 92 3
49 19 2
54 28 7
16 28 4
25 15 6
10 26 7
44 11 9
53 75 2
2 54 2
12 38 9
15 77 6
52 85 4
53 19 8
24 63 1
93 62 8
58 72 3
74 82 10
23 80 3
37 43 2
77 51 1
68 60 7
89 20 5
7 85 3
13 98 9
56 70 4
85 69 2
96 47 9
82 53 6
38 95 6
47 14 7
1 97 5
15 21 2
91 66 7
51 11 5
25 42 6
28 92 7
99 19 5
14 73 1
92 3 8
51 84 7
95 85 4
58 68 4
9 1 3
80 68 4
10 47 9
51 9 6
31 60 2
93 90 8
69 31 7
86 18 9
46 48 8
25 18 6
50 27 7
37 39 2
13 30 2
99 55 7
64 70 4
15 52 3
96 66 3
75 92 10
71 45 7
16 85 9
94 83 9
61 70 9
100 83 2
90 10 4
61 78 9
33 58 9
40 3 7
5 65 1
36 46 6
71 56 6
12 37 6
55 68 9
8 21 9
31 66 5
11 89 7
96 33 1
24 70 10
86 57 2
79 31 3
57 53 1
28 69 4
2 70 3
79 95 5
78 85 7
93 23 3
69 4 3
29 83 3
78 3 1
96 17 8
55 25 7
96 88 9
58 28 1
67 92 6
62 80 3
100 75 1
30 88 3
87 14 8
35 67 7
17 63 7
75 90 9
32 35 7
20 80 10
94 15 4
56 15 1
63 45 2
3 73 2
33 66 2
33 87 10
82 3 7
36 64 1
40 48 4
62 64 9
31 37 4
99 64 3
82 58 10
59 53 5
24 31 5
1 28 8
52 8 7
90 24 4
75 65 9
77 43 8
88 68 2
46 13 6
46 11 1
12 52 4
1 92 3
22 96 2
22 6 2
67 8 1
100 26 7
45 88 8
89 51 8
47 41 1
64 92 6
25 97 3
76 25 6
88 95 2
46 29 3
68 20 8
33 42 1
22 59 9
14 60 4
33 38 9
56 32 6
91 99 9
34 22 8
85 76 5
87 64 4
33 22 2
94 17 3
51 54 10
51 26 8
74 47 8
94 68 2
98 5 9
1 42 1
44 46 1
66 22 4
15 28 2
41 34 6
75 22 8
26 16 10
49 95 7
71 65 4
11 64 3
72 33 9
38 23 10
63 68 2
30 84 10
95 91 5
69 77 9
8 71 3
65 45 10
54 77 2
40 43 9
30 34 1
66 94 6
84 78 8
77 21 7
54 17 10
97 89 5
7 44 10
46 43 3
90 59 3
77 99 6
11 75 1
41 94 8
70 89 5
3 57 10
84 17 2
86 69 10
36 85 6
89 72 10
41 97 3
5 44 5
57 15 3
19 94 9
53 40 5
19 88 7
74 75 3
26 87 4
25 82 3
54 51 9
23 90 1
16 12 6
8 93 2
66 77 4
28 97 6
50 5 8
34 58 5
67 42 9
21 41 9
27 94 5
6 16 7
59 31 5
14 89 10
27 48 1
21 95 8
55 22 10
53 79 2
2 69 10
82 88 3
89 28 9
67 4 6
38 82 5
100 24 1
15 51 10
25 39 5
23 63 9
12 62 7
60 66 8
79 15 4
4 78 2
9 98 7
19 70 5
75 79 9
4 44 2
8 4 1
67 74 3
3 76 4
14 84 1
93 91 7
45 32 2
73 7 10
77 49 7
60 37 5
22 68 5
82 1 8
68 89 1
19 60 1
64 83 3
35 91 3
10 29 5
89 46 5
97 52 3
47 83 3
44 33 9
96 81 7
87 9 3
74 32 5
64 17 4
82 65 8
89 71 8
61 6 8
25 57 9
74 33 7
68 67 9
35 48 9
89 68 7
45 67 8
37 91 8
20 44 8
5 48 8
87 97 9
70 83 9
8 50 9
2 25 8
8 80 2
58 35 5
49 87 6
89 91 2
69 96 7
70 31 2
23 55 5
35 47 6
14 10 9
29 82 8
37 13 3
28 99 8
4 1 1
52 22 6
10 34 2
33 27 8
91 25 3
46 41 6
8 11 10
69 48 9
44 90 3
3 24 2
29 18 6
10 43 1
26 45 9
50 49 9
35 18 7
30 26 6
34 28 8
96 3 8
41 18 6
99 53 9
18 76 3
18 75 4
92 91 6
92 72 1
8 64 10
68 45 6
49 43 10
23 100 5
59 76 9
16 6 7
53 87 7
37 73 3
100 42 10
73 63 2
1 22 1
54 4 5
64 12 3
92 73 8
29 48 2
94 27 1
37 71 6
63 29 6
76 78 10
4 46 6
8 70 7
100 71 3
43 47 2
45 75 3
