25 100
21 13 4
9 19 1
3 23 2
13 20 2
12 24 10
6 16 5
7 16 2
18 19 8
1 3 5
23 8 7
3 16 6
2 4 3
12 17 7
19 5 6
3 11 6
1 15 7
20 1 5
9 22 1
13 21 3
2 18 1
23 6 1
22 21 10
25 3 2
20 25 8
13 11 6
18 9 10
16 23 4
25 7 8
21 11 9
2 9 5
7 2 1
19 13 5
12 14 10
1 5 2
14 23 8
7 18 9
21 10 6
23 22 10
21 3 4
12 4 2
10 25 7
25 1 4
10 7 6
6 17 1
20 9 9
15 12 5
13 9 8
14 20 1
4 10 1
8 13 9
1 13 8
17 22 3
19 17 2
21 8 2
21 4 5
9 4 8
13 16 5
17 20 9
10 12 6
2 8 4
21 6 1
23 4 1
20 8 8
14 17 9
4 18 2
9 24 9
15 20 8
16 8 9
5 20 8
17 15 9
20 16 2
9 2 1
13 4 2
19 10 6
8 24 9
16 7 7
4 19 3
20 3 2
23 14 6
11 9 4
21 22 10
11 14 4
14 24 2
25 21 8
11 4 7
8 18 1
25 13 1
7 4 8
4 23 6
5 22 2
23 21 7
3 14 1
16 4 9
3 24 10
8 20 2
21 17 2
2 6 3
1 10 8
17 12 8
17 4 4
20 18
15
14 4 
10 11 6 
8 6 1 23 
12 21 14 9 
24 9 3 
19 11 
13 6 
17 16 5 10 
23 6 
8 1 14 
14 24 22 
4 8 24 
12 21 24 
7 13 6 
6 16 
